Report Name: Log Report
Location IP,Collection Time,Location,Status,HTTP Status Code,DNS Response Time (ms),Connection Time (ms),SSL Handshake Time (ms),First Byte Time (ms),Download Time (ms),Response Time (ms),Content Length (B),Resolved IP,Reason
66.165.253.194,October 10 2024 1:22:15 AM EDT,New York - US,Up,200,41,1,18,252,15,328,638008,104.18.16.112,-
66.165.253.194,October 10 2024 1:17:13 AM EDT,New York - US,Up,200,42,2,9,364,14,431,638008,104.18.17.112,-
66.165.253.194,October 10 2024 1:12:09 AM EDT,New York - US,Up,200,41,2,9,189,37,278,638008,104.18.16.112,-
75.101.151.107,October 10 2024 1:12:09 AM EDT,Virginia - US,Up,200,25,2,9,196,17,249,638008,104.18.17.112,-
159.203.37.151,October 10 2024 1:12:09 AM EDT,Toronto - CA,Up,200,65,2,12,180,13,272,638008,104.18.16.112,-
64.235.50.24,October 10 2024 1:12:09 AM EDT,Las Vegas - US,Up,200,24,8,21,480,18,551,638008,104.18.17.112,-
104.236.114.81,October 10 2024 1:07:08 AM EDT,New York - US,Up,200,17,9,16,165,14,221,638008,104.18.16.112,-
104.236.16.22,October 10 2024 1:02:06 AM EDT,New York - US,Up,200,14,3,11,202,15,245,638008,104.18.17.112,-
169.197.141.229,October 10 2024 12:56:52 AM EDT,New York - US,Up,200,33,2,12,183,20,250,638008,104.18.17.112,-
209.151.153.107,October 10 2024 12:51:48 AM EDT,New York - US,Up,200,8,2,11,222,17,260,638008,104.18.16.112,-
172.96.165.98,October 10 2024 12:46:45 AM EDT,New York - US,Up,200,14,2,10,171,15,212,638008,104.18.17.112,-
66.165.233.146,October 10 2024 12:41:42 AM EDT,New York - US,Up,200,63,2,14,2002,16,2097,638008,104.18.17.112,-
23.105.39.121,October 10 2024 12:41:42 AM EDT,Virginia - US,Up,200,6,5,13,2078,14,2117,638008,104.18.17.112,-
172.105.0.109,October 10 2024 12:41:42 AM EDT,Toronto - CA,Up,200,306,1,8,1789,13,2118,638008,104.18.16.112,-
45.10.22.81,October 10 2024 12:41:42 AM EDT,Las Vegas - US,Up,200,13,8,17,2173,18,2229,638008,104.18.16.112,-
66.165.233.146,October 10 2024 12:36:40 AM EDT,New York - US,Up,200,61,2,10,273,13,359,638010,104.18.16.112,-
45.58.47.160,October 10 2024 12:31:37 AM EDT,New York - US,Up,200,86,2,23,195,14,320,638010,104.18.17.112,-
66.165.233.146,October 10 2024 12:26:35 AM EDT,New York - US,Up,200,64,4,16,204,18,306,638010,104.18.16.112,-
209.151.153.107,October 10 2024 12:21:34 AM EDT,New York - US,Up,200,9,2,10,166,16,203,638010,104.18.17.112,-
172.96.165.98,October 10 2024 12:16:32 AM EDT,New York - US,Up,200,17,2,11,253,16,299,638010,104.18.16.112,-
209.151.153.107,October 10 2024 12:11:27 AM EDT,New York - US,Up,200,12,2,9,200,13,236,638010,104.18.16.112,-
131.153.220.98,October 10 2024 12:11:27 AM EDT,Virginia - US,Up,200,12,0,20,206,14,254,638010,104.18.16.112,-
165.22.238.144,October 10 2024 12:11:27 AM EDT,Toronto - CA,Up,200,28,2,15,236,26,307,638010,104.18.16.112,-
45.10.22.81,October 10 2024 12:11:27 AM EDT,Las Vegas - US,Up,200,45,9,22,376,13,466,638010,104.18.17.112,-
104.236.16.22,October 10 2024 12:06:25 AM EDT,New York - US,Up,200,27,10,25,346,33,441,638010,104.18.16.112,-
172.96.165.98,October 10 2024 12:01:23 AM EDT,New York - US,Up,200,17,1,9,260,14,302,638010,104.18.16.112,-
172.96.165.98,October 9 2024 11:56:21 PM EDT,New York - US,Up,200,17,1,15,177,14,224,638010,104.18.17.112,-
209.151.153.107,October 9 2024 11:51:19 PM EDT,New York - US,Up,200,9,2,9,610,17,648,638010,104.18.16.112,-
45.58.47.160,October 9 2024 11:46:17 PM EDT,New York - US,Up,200,119,4,15,151,19,308,638010,104.18.17.112,-
104.236.114.81,October 9 2024 11:41:08 PM EDT,New York - US,Up,200,17,3,14,1594,16,1644,638010,104.18.16.112,-
